,open,high,low,close,volume,ema_5,ema_400,super_trend_direction
2022-03-31 22:00:00,95.891,96.701,94.886,96.6475,2048120.3054,96.6475,96.6475,True
2022-03-31 23:00:00,96.6475,97.5035,94.948,97.4665,3490275.1292,97.13889999999999,97.05802374999999,True
2022-04-01 00:00:00,97.4665,98.3595,96.251,96.8315,2143636.4414,96.99328947368419,96.98213797992088,True
2022-04-01 01:00:00,96.8315,96.8315,94.8405,94.964,1518307.15145,96.15035384615383,96.47381318535314,True
2022-04-01 02:00:00,94.964,95.4,90.392,90.785,4858556.4446,94.09066824644549,95.32464454927523,True
2022-04-01 03:00:00,90.785,92.339,90.494,92.268,2219060.3014,93.42464060150377,94.80881460831523,True
2022-04-01 04:00:00,92.2685,93.527,92.1545,92.7575,1607977.4418,93.18843589120935,94.5113557210227,True
2022-04-01 05:00:00,92.7575,93.376,91.9575,92.0325,1132409.35615,92.78747922283904,94.19604921514701,True
2022-04-01 06:00:00,92.0325,93.703,91.595,93.469,1080723.94965,93.02071994157845,94.11364090331885,True
2022-04-01 07:00:00,93.469,94.38,93.4415,94.229,1102818.49625,93.43058769495909,94.12543809693085,True
2022-04-01 08:00:00,94.229,95.232,94.0515,94.1935,848177.66795,93.68786619855054,94.13178138598548,True
2022-04-01 09:00:00,94.1935,94.6195,93.351,93.6765,1021701.3884,93.68404803781208,94.09278924504063,True
2022-04-01 10:00:00,93.6765,94.1825,93.284,94.0945,542081.78925,93.82157198837928,94.09292482556766,True
2022-04-01 11:00:00,94.0945,94.4345,92.864,92.9665,1393523.34655,93.535568290191,94.00982491335226,True
2022-04-01 12:00:00,92.9665,93.938,91.9405,93.5635,2710903.3572,93.54490017095392,93.97901724163918,True
2022-04-01 13:00:00,93.5635,95.1195,93.44,93.5615,5131171.4975,93.55044188422214,93.95193247143636,True
2022-04-01 14:00:00,93.5615,96.804,93.5305,96.6955,7802174.51615,94.5998597057823,94.11985473011899,True
2022-04-01 15:00:00,96.6955,97.864,96.126,96.704,2613677.92315,95.30171470666092,94.26960094733347,True
2022-04-01 16:00:00,96.704,98.6905,96.704,97.268,4549018.42425,95.95743893037445,94.43461323096753,True
2022-04-01 17:00:00,97.268,99.036,96.9435,99.036,1373585.03915,96.98393465026513,94.67577434714084,True
2022-04-01 18:00:00,99.036,99.817,98.28,99.4235,1622102.8272,97.79728616558421,94.91333912753494,True
2022-04-01 19:00:00,99.4235,99.7115,98.5,99.1215,1111283.52935,98.23874978183912,95.11482828353935,True
2022-04-01 20:00:00,99.138,99.138,97.1795,97.42,2327639.96085,97.96580886755042,95.22066170973629,True
2022-04-01 21:00:00,97.42,98.306,97.3565,97.7465,1745479.89125,97.89270156889337,95.33206709670945,True
2022-04-01 22:00:00,97.7465,98.095,96.3415,96.913,958385.7353,97.5661214459944,95.39917117215803,True
2022-04-01 23:00:00,96.913,96.9555,95.6685,96.8755,1112953.1812,97.33590821937382,95.45957269558,True
2022-04-02 00:00:00,96.8755,98.986,96.061,98.828,1911291.5408,97.83328090047883,95.59260690214752,True
2022-04-02 01:00:00,98.8325,99.1195,97.633,98.168,926843.8359,97.94485524286185,95.69092789822749,True
2022-04-02 02:00:00,98.168,98.4265,96.5475,96.942,1240827.6536,97.61056754689473,95.7371558952062,True
2022-04-02 03:00:00,96.942,97.5215,96.724,97.5215,363046.1451,97.58087820976377,95.80104652175574,True
2022-04-02 04:00:00,97.5215,98.307,96.8695,98.058,733903.6295,97.73991935945232,95.87944341599973,True
2022-04-02 05:00:00,98.063,98.8945,97.649,98.812,751593.646,98.09728040126679,95.97836512632686,True
2022-04-02 06:00:00,98.812,100.7885,98.2395,100.468,2210181.199,98.88752148860226,96.12557896019072,True
2022-04-02 07:00:00,100.468,100.9995,99.33,100.8035,1405292.2837,99.52618165031232,96.27481748670954,True
