symbol,UpperPriceLimit,LowerPriceLimit,OutboundZoneMax,OutboundZoneMin,grid_step,grid_threshold,balance_min_size
BTC-PERP,21100,19900,100000,10000,10,0.08,0.0001
ETH-PERP,1700,1450,3000,1000,10,0.08,0.001
XRP-PERP,0.51,0.45,2,0.1,10,0.08,1
BNB-PERP,356,315,400,150,10,0.08,0.01
SOL-PERP,34.5,30,50,10,10,0.08,0.01
