id,name,type,grid_high,grid_low,percent_per_grid,nb_grid,grid_margin
long_1,StrategyGridTradingGenericV2,long,0.00001,0.0000057,0,39,203
short_1,StrategyGridTradingGenericV2,short,0.00001,0.0000057,0,39,203
