symbol
MATIC
XLM
MANA
CRV
EGLD
PEOPLE
ENJ
ZIL
APE
ROSE
C98
STORJ
COMP
LUNA2
LUNC
ONE
MAGIC
ANKR
FET
HOOK
HBAR
COTI
LIT
TLM
HOT
HFT
ZEC
UNFI
DAR
SFP
SKL
UMA
KEY
SLP
DOGE
ATOM
ASTR
STMX
LINK
ICP
AVAX
XMR
BAT
RNDR
VET
DENT
