id,name,symbol,type,grid_high,grid_low,percent_per_grid,nb_grid,nb_position_limits,grid_margin
long_1,StrategyGridTradingGenericV3,DOGE,long,0.129,0.092,0,35,1,1000
short_1,StrategyGridTradingGenericV3,DOGE,short,0.129,0.092,0,35,1,1000
breakout_1,StrategyBreakoutTradingGenericV2,DOGE,long,0.129,0.092,0.5,3,1,1000
