symbol
EGLD
XRP
BTC
ETH
SHIB
BCH
AAVE
ACH
ANKR
AR
ASTR
ATOM
CELO
DOGE
DOT
GTC
HFT
HOT
KSM
LINK
LIT
MINA
SLP
SPELL
STORJ
ZIL
