symbol
XRP
BCH
DOGE
AAVE
ATOM
SUSHI
SHIB
EGLD
AR
PEOPLE
ZIL
APE
STORJ
1INCH
REEF
LUNC
MINA
ASTR
ANKR
ACH
RDNT
HFT
FLOKI
SPELL
SUI
STMX
UMA
