id,name,symbol,type,grid_high,grid_low,percent_per_grid,nb_grid,nb_position_limits,grid_margin
long_1,StrategyGridTradingGenericV3,1000BONK,long,0.0235,0.0195,0,45,1,1000
short_1,StrategyGridTradingGenericV3,1000BONK,short,0.0235,0.0195,0,45,1,1000
breakout_1,StrategyBreakoutTradingGenericV2,1000BONK,long,0.0235,0.0195,0.5,3,1,1000
