id,name,symbol,type,grid_high,grid_low,percent_per_grid,nb_grid,nb_position_limits,grid_margin
breakout_1,StrategyBreakoutTradingGenericV2,PEPE,,0.0000086,0.0000076,0.2,10,1,100
breakout_2,StrategyBreakoutTradingGenericV2,XRP,,0.62,0.55,0.2,10,1,100
